Jul. 16, 2010	21782199 
Jul. 17, 2010	43573807 
Jul. 18, 2010	62785337 
Jul. 19, 2010	72970702 
Jul. 20, 2010	82735839 
Jul. 21, 2010	91595161 
Jul. 22, 2010	100158412 
Jul. 23, 2010	113242131 
Jul. 24, 2010	129755003 
Jul. 25, 2010	142883424 
Jul. 26, 2010	148948901 
Jul. 27, 2010	155017120 
Jul. 28, 2010	160539271 
Jul. 29, 2010	165828496 
Jul. 30, 2010	174022724 
Jul. 31, 2010	184734433 
Aug. 1, 2010	193313741 
Aug. 2, 2010	197603131 
Aug. 3, 2010	201725628 
Aug. 4, 2010	205513834 
Aug. 5, 2010	209132099 
Aug. 6, 2010	214684135 
Aug. 7, 2010	222066943 
Aug. 8, 2010	227637569 
Aug. 9, 2010	230168703 
Aug. 10, 2010	232790746 
Aug. 11, 2010	235007121 
Aug. 12, 2010	237184431 
Aug. 13, 2010	240534666 
Aug. 14, 2010	245109347 
Aug. 15, 2010	248469482 
Aug. 16, 2010	250001841 
Aug. 17, 2010	251543257 
Aug. 18, 2010	252914303 
Aug. 19, 2010	254193415 
Aug. 20, 2010	256369989 
Aug. 21, 2010	259591932 
Aug. 22, 2010	262031594 
Aug. 23, 2010	262995039 
Aug. 24, 2010	263980341 
Aug. 25, 2010	264851540 
Aug. 26, 2010	265643564 
Aug. 27, 2010	267080412 
Aug. 28, 2010	269177315 
Aug. 29, 2010	270519920 
Aug. 30, 2010	271034171 
Aug. 31, 2010	271618513 
Sep . 1, 2010	272091844 
Sep . 2, 2010	272573254 
Sep . 3, 2010	273731041 
Sep . 4, 2010	275428323 
Sep . 5, 2010	277145503 
Sep . 6, 2010	278457609 
Sep . 7, 2010	278786943 
Sep . 8, 2010	279096351 
Sep . 9, 2010	279409588 
Sep . 10, 2010	280240959 
Sep . 11, 2010	281545938 
Sep . 12, 2010	282211978 
Sep . 13, 2010	282423176 
Sep . 14, 2010	282681228 
Sep . 15, 2010	282910644 
Sep . 16, 2010	283162718 
Sep . 17, 2010	283756520 
Sep . 18, 2010	284667199 
Sep . 19, 2010	285129855 
Sep . 20, 2010	285285981 
Sep . 21, 2010	285464113 
Sep . 22, 2010	285630280 
Sep . 23, 2010	285806286 
Sep . 24, 2010	286186454 
Sep . 25, 2010	286752223 
Sep . 26, 2010	287053292 
Sep . 27, 2010	287162351 
Sep . 28, 2010	287286362 
Sep . 29, 2010	287390686 
Sep . 30, 2010	287501168 
Oct. 1, 2010	287747677 
Oct. 2, 2010	288218801 
Oct. 3, 2010	288405376 
Oct. 4, 2010	288473692 
Oct. 5, 2010	288547701 
Oct. 6, 2010	288617960 
Oct. 7, 2010	288691296 
Oct. 8, 2010	288834210 
Oct. 9, 2010	289050885 
Oct. 10, 2010	289183607 
Oct. 11, 2010	289260086 
Oct. 12, 2010	289305974 
Oct. 13, 2010	289350076 
Oct. 14, 2010	289403621 
Oct. 15, 2010	289513715 
Oct. 16, 2010	289675498 
Oct. 17, 2010	289751947 
Oct. 18, 2010	289782527 
Oct. 19, 2010	289814553 
Oct. 20, 2010	289846799 
Oct. 21, 2010	289881124 
Oct. 22, 2010	290032216 
Oct. 23, 2010	290249239 
Oct. 24, 2010	290381264 
Oct. 25, 2010	290432773 
Oct. 26, 2010	290485827 
Oct. 27, 2010	290534298 
Oct. 28, 2010	290585677 
Oct. 29, 2010	290707149 
Oct. 30, 2010	290860263 
Oct. 31, 2010	290948208 
Nov. 1, 2010	290989663 
Nov. 2, 2010	291036750 
Nov. 3, 2010	291081483 
Nov. 4, 2010	291130914 
Nov. 5, 2010	291229134 
Nov. 6, 2010	291372655 
Nov. 7, 2010	291448103 
Nov. 8, 2010	291475429 
Nov. 9, 2010	291506627 
Nov. 10, 2010	291541268 
Nov. 11, 2010	291598079 
Nov. 12, 2010	291673925 
Nov. 13, 2010	291776496 
Nov. 14, 2010	291832593 
Nov. 15, 2010	291851666 
Nov. 16, 2010	291872747 
Nov. 17, 2010	291893655 
Nov. 18, 2010	291914445 
Nov. 19, 2010	291961256 
Nov. 20, 2010	292030157 
Nov. 21, 2010	292068095 
Nov. 22, 2010	292086685 
Nov. 23, 2010	292109784 
Nov. 24, 2010	292134454 
Nov. 25, 2010	292158289 
Nov. 26, 2010	292206346 
Nov. 27, 2010	292256470 
Nov. 28, 2010	292277755 
Nov. 29, 2010	292285843 
Nov. 30, 2010	292295872 
Dec. 1, 2010	292306278 
Dec. 2, 2010	292316474 
Dec. 3, 2010	292337628 
Dec. 4, 2010	292368529 
Dec. 5, 2010	292383900 
Dec. 6, 2010	292390103 
Dec. 7, 2010	292397527 
Dec. 8, 2010	292404654 
Dec. 9, 2010	292412237 
Dec. 10, 2010	292428991 
Dec. 11, 2010	292450670 
Dec. 12, 2010	292462233 
Dec. 13, 2010	292467452 
Dec. 14, 2010	292473458 
Dec. 15, 2010	292479104 
Dec. 16, 2010	292485544 
Dec. 17, 2010	292494108 
Dec. 18, 2010	292504404 
Dec. 19, 2010	292511473 
Dec. 20, 2010	292517082 
Dec. 21, 2010	292522501 
Dec. 22, 2010	292525041 
Dec. 23, 2010	292528592 
Dec. 24, 2010	292531112 
Dec. 25, 2010	292534130 
Dec. 26, 2010	292537649 
Dec. 27, 2010	292541086 
Dec. 28, 2010	292544734 
Dec. 29, 2010	292548316 
Dec. 30, 2010	292553519 
Dec. 31, 2010	292558188 
Jan. 1, 2011	292565212 
Jan. 2, 2011	292568851 
Jan. 3, 2011	292571392 
Jan. 4, 2011	292572697 
Jan. 5, 2011	292574501 
Jan. 6, 2011	292576195 
